Name,Description,Latitude,Longitude,InforURL,ImageURL,,
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg,,
Yosemite National Park,A stunning national park located in California's Sierra Nevada mountain range.,37.90596499,-119.5270229,https://www.nps.gov/yose/index.htm,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Valley_View_Yosemite_August_2013_002.jpg/1920px-Valley_View_Yosemite_August_2013_002.jpg,,
Jalama Beach County Park,A great beach camping destination and secluded surf spot one hour North of Goleta.,34.51145648,-120.5013038,https://www.countyofsb.org/638/Jalama-Beach,https://www.travelgrom.com/wp-content/uploads/tarantulas-jalama-wave-barrel.jpg,,
"Forney's Cove, Santa Cruz Island",An amazing anchorage located on the Western tip of the backside of Santa Cruz Island,34.057067,-119.918104,https://sailchannelislands.com/santa-cruz-forney-cove/,https://sailchannelislands.com/wp-content/uploads/2016/02/Forneys-2.jpg,https://sailchannelislands.com/wp-content/uploads/2016/02/Forneys-2.jpg,
Sandy's Beach,A heavy shorepound located on Oahu where I learned how to properly bodysurf,21.28585569,-157.6727258,https://www.best-of-oahu.com/sandy-beach-park.html,https://phillipgray.files.wordpress.com/2014/01/usa-hawaii-oahu-13f.jpg,,
Sands beach,A beach located just outside of isla vista where I learned how to surf,34.40807803,-119.8789635,https://www.californiabeaches.com/beach/sands-beach/,https://www.calcoastadventures.com/wp-content/uploads/D5BD9046-02CB-452B-984C-E9B82A0A80441.jpg,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,","
